trial,sampleID,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,Tanoak,Tolerance_Resistance,Rank_Sorting
2,SM.52.42,-315.04683401042513,163.62115937000806,-26.05154914558445,548.5980276141132,-129.28611274986633,74.59397413738164,-0.4508558087542075,83.82421579744768,-20.699654657010026,68.3919116935072,SM-52-42,Resistant,13
2,SM.52.42.XL,-315.93518108149766,163.55260125380494,-25.935612581099313,544.5703380295801,-129.41078748337978,74.06383624637714,1.092960496760619,82.79716474694845,-20.225803379006255,67.05458939583501,SM-52-42,Resistant,13
2,SM.52.81.cl1,-534.0845721499251,119.75532139066634,-1.3569174194378666,-271.2903493982531,38.52000083504463,18.441123826430797,35.19954172885726,-41.43773649072461,7.660287511954534,117.41961315395656,SM-52-81,Resistant,7
2,SM.52.97,-465.7573224458056,87.09011609008782,-9.18869316668072,-56.017331123164595,52.373218030872025,52.815811039505554,-48.305384599838575,79.05232104714293,-29.63312877315912,-499.7447578984734,SM-52-97,Resistant,31
2,SM.54.37,321.1068836722271,229.15454987349224,32.73521088612182,58.51516303550831,519.8418131201025,117.95587414041668,24.594327095217448,55.3033790058783,94.83367124581912,16.96235545357993,SM-54-37,Susceptible,125
2,SM.54.37.XL,320.35855805354464,227.698593670327,32.76319947042675,56.15073908096566,517.7324433016805,117.42816204253107,23.791312445636006,55.16034012227769,91.70643443680315,17.107446487830686,SM-54-37,Susceptible,125
2,LP.22.20,32.35620424166279,-192.47067257869406,-136.6161305134085,41.73535027405311,109.6404215731109,-697.2960095486958,233.7777709001658,236.4018346012548,-40.08927734402574,2.3233872038728216,LP-22-20,Resistant,2
2,LP.22.48,128.63002618242393,-531.2876679547834,-452.98624641678344,4.876826751925198,-20.10017918385023,179.7031786654125,199.57647631390296,-111.23812102744024,-36.58763076709471,-9.670492190292935,LP-22-48,Resistant,1
2,LP.22.48.XL,127.21135537259221,-533.7639318397433,-453.62279620982156,4.306196669344538,-18.873026204268566,179.41242685631266,199.49890501636236,-111.25821813080141,-37.00471749315103,-8.913822452025974,LP-22-48,Resistant,1
2,LP.22.50,83.0433623711976,-428.15389182809207,-210.07205443467214,-105.92958930281772,-62.13917312566694,4.9736003290284785,-612.8069510535285,313.5805194114767,136.13138560459308,58.18140435548023,LP-22-50,Resistant,5
2,SM.52.81.cl2,-531.7397746880443,120.08815216388544,-1.845320587035522,-271.51116926485815,37.786661910152,18.7377440037624,34.80091648863859,-42.419948475226384,9.04062570161775,120.947947766301,LP-22-54,Resistant,4
2,SM.52.81.cl2.XL,-534.514475109011,118.79026659999055,-0.7705547157461139,-270.301004452307,38.731596901714425,20.236104337679457,36.783398023759204,-40.75540128277167,7.656225017584993,116.92424762299065,LP-22-54,Resistant,4
2,NL.2,118.38892337977987,-372.21735293303544,676.0822393439879,-18.876097493680778,-104.18939602418229,58.863072838993766,99.95756499457973,32.80784859760647,48.90848336787249,-3.836590372889354,NA,NA,NA
2,NL.2.XL,123.66685301172073,-368.6648225895889,678.0328896410437,-17.8227015577455,-110.06026859569387,61.126719369538044,103.09258745543043,33.14929654976056,55.737284569469,-2.6961313094329875,NA,NA,NA
2,SM.52.91,40.55483623865019,-55.02125290260144,61.23358813096588,164.16042817995938,46.134970944182704,-281.90067966468695,-278.20295614529186,-611.6578513967128,125.74174808311422,-36.51906232946007,SM-52-91,Resistant,6
2,SM.74.45.cl2,373.44843956603086,385.2730239024108,-96.45135927685246,-116.21976319604343,-277.80085086837795,-2.0259342510400278,46.46895575210021,10.067773672584286,68.31857564577578,-18.45805130842178,SM-54-26,Susceptible,133
2,SM.54.28,281.6607914821297,97.19594617755733,127.64974384787648,-63.65052908698341,46.2096151473805,6.191384134957441,-192.90554097897552,-44.14721387851539,-598.3176780058918,30.069458281775905,SM-54-28,Susceptible,137
2,SM.74.45.cl1,373.50952188581607,384.6368539326402,-96.93946483635627,-115.1062696158064,-277.7483759104741,-1.8585758569708601,46.67150815131054,10.161079495001408,68.29283627468432,-18.133603235910876,SM-54-45,Susceptible,132
2,SM.74.45.cl1.XL,373.14240401589734,384.72300819928176,-96.66017202078113,-116.18826513812445,-277.3625716131845,-1.4618126488453371,47.36546372329682,10.608717633030768,68.53033296644125,-17.409850315967297,SM-54-45,Susceptible,132
